loan_id,current_balance,interest_rate,payment_status
LN00207,336173.87,13.57,CURRENT
LN00209,293374.12,9.92,CURRENT
LN00212,60714.22,5.11,DELINQUENT
LN00215,239425.73,12.98,CURRENT
LN00219,0.00,14.62,CLOSED
LN00221,216020.14,10.20,DELINQUENT
LN00222,208628.54,9.13,DELINQUENT
LN00227,134237.90,5.06,DELINQUENT
LN00229,110404.72,12.78,CURRENT
LN00231,0.00,4.18,CLOSED
LN00232,0.00,12.79,CLOSED
LN00234,129794.23,9.08,DELINQUENT
LN00241,0.00,4.19,CLOSED
LN00246,0.00,4.12,CLOSED
LN00248,236735.45,10.62,DELINQUENT
LN00252,70755.29,7.25,DELINQUENT
LN00254,0.00,9.69,CLOSED
LN00255,348558.13,10.61,DELINQUENT
LN00256,0.00,4.68,CLOSED
LN00260,0.00,6.35,CLOSED
LN00263,62456.99,8.86,CURRENT
LN00270,280192.26,10.42,CURRENT
LN00273,77777.00,5.44,CLOSED
LN00276,0.00,9.82,CLOSED
LN00279,0.00,4.47,CLOSED
LN00280,0.00,7.22,CLOSED
LN00285,250559.00,14.83,DELINQUENT
LN00287,126002.18,7.29,CURRENT
LN00290,125005.63,10.78,CURRENT
LN00295,322818.27,13.24,DELINQUENT
LN00299,0.00,9.19,CLOSED
LN00302,179834.94,7.90,DELINQUENT
LN00303,77777.00,6.79,CLOSED
LN00304,249320.18,4.46,DELINQUENT
LN00306,0.00,9.23,CLOSED
LN00308,132484.74,4.35,DELINQUENT
LN00309,0.00,4.45,CLOSED
LN00310,0.00,13.70,CLOSED
LN00311,113335.47,5.35,CURRENT
LN00317,102741.48,6.58,DELINQUENT
LN00319,171710.45,11.18,DELINQUENT
LN00324,103704.38,6.66,DELINQUENT
LN00325,0.00,7.96,CLOSED
LN00327,116262.56,7.14,DELINQUENT
LN00328,219567.71,8.10,CURRENT
LN00329,261490.06,4.73,DELINQUENT
LN00332,106007.94,13.07,CURRENT
LN00333,170684.34,5.18,CURRENT
LN00335,0.00,14.50,CLOSED
LN00336,0.00,9.65,CLOSED
LN00339,0.00,13.79,CLOSED
LN00343,232369.04,7.84,DELINQUENT
LN00344,281594.02,8.65,DELINQUENT
LN00346,0.00,10.72,CLOSED
LN00347,109411.31,14.04,CURRENT
LN00348,417230.29,10.89,DELINQUENT
LN00349,71362.45,7.92,CURRENT
LN00351,169438.92,4.66,CURRENT
LN00353,0.00,7.55,CLOSED
LN00356,191881.49,7.20,CURRENT
LN00359,188698.41,8.08,CURRENT
LN00363,0.00,8.58,CLOSED
LN00364,110462.40,4.57,DELINQUENT
LN00365,171540.12,12.38,DELINQUENT
LN00366,95633.87,11.41,DELINQUENT
LN00367,221583.94,4.46,CURRENT
LN00369,31157.09,4.19,CURRENT
LN00370,48006.02,5.16,DELINQUENT
LN00371,0.00,14.77,CLOSED
LN00376,236007.82,11.41,CURRENT
LN00377,127434.36,4.08,DELINQUENT
LN00379,0.00,10.68,CLOSED
LN00380,216856.25,7.91,DELINQUENT
LN00382,134120.14,10.08,CURRENT
LN00383,380338.22,6.50,DELINQUENT
LN00385,138620.73,6.17,DELINQUENT
LN00386,0.00,8.23,CLOSED
LN00387,105041.55,4.73,CURRENT
LN00388,0.00,13.24,CLOSED
LN00401,177309.53,8.55,DELINQUENT
LN00408,0.00,7.67,CLOSED
LN00409,0.00,5.93,CLOSED
LN00410,344364.96,6.55,CURRENT
LN00411,214579.74,7.72,CURRENT
LN00412,77177.94,10.64,CURRENT
LN00415,236862.15,4.37,CURRENT
LN00417,62050.93,7.15,DELINQUENT
LN00421,0.00,8.77,CLOSED
LN00422,48611.58,5.43,CURRENT
LN00423,0.00,5.50,CLOSED
LN00428,218194.75,12.66,CURRENT
LN00433,0.00,10.05,CLOSED
LN00434,0.00,4.47,CLOSED
LN00435,99410.20,12.75,DELINQUENT
LN00438,223718.95,6.08,DELINQUENT
LN00444,142319.22,9.49,CURRENT
LN00447,143993.66,4.69,DELINQUENT
LN00448,73282.56,6.15,DELINQUENT
LN00453,195385.41,8.58,CURRENT
LN00455,52904.46,4.76,DELINQUENT
LN00458,0.00,13.34,CLOSED
LN00464,186526.38,14.46,DELINQUENT
LN00465,0.00,8.46,CLOSED
LN00471,0.00,13.45,CLOSED
LN00472,0.00,10.76,CLOSED
LN00473,179493.73,5.67,CURRENT
LN00479,0.00,10.15,CLOSED
LN00482,396127.43,7.61,DELINQUENT
LN00484,0.00,5.21,CLOSED
LN00485,281731.24,10.06,DELINQUENT
LN00492,0.00,5.48,CLOSED
LN00493,0.00,13.36,CLOSED
LN00496,101129.23,9.08,CURRENT
LN00497,0.00,4.04,CLOSED
LN00498,118272.25,13.97,DELINQUENT
LN00499,35461.26,11.72,DELINQUENT
LN00505,108734.02,13.62,CURRENT
LN00511,0.00,13.90,CLOSED
LN00512,0.00,9.51,CLOSED
LN00513,68719.22,9.48,CURRENT
LN00516,111124.05,5.15,CURRENT
LN00517,358477.76,9.47,DELINQUENT
LN00521,243982.60,9.40,CURRENT
LN00525,277966.98,14.38,CURRENT
LN00529,207777.12,4.91,DELINQUENT
LN00532,94706.20,7.80,CURRENT
LN00533,164005.26,6.53,DELINQUENT
LN00534,85005.86,14.66,CURRENT
LN00535,253335.01,8.63,CURRENT
LN00536,57099.17,4.39,DELINQUENT
LN00537,0.00,11.26,CLOSED
LN00542,248931.45,6.09,DELINQUENT
LN00546,0.00,6.25,CLOSED
LN00558,48105.16,14.20,CURRENT
LN00566,0.00,12.95,CLOSED
LN00568,17607.28,9.84,CURRENT
LN00569,0.00,8.95,CLOSED
LN00572,0.00,4.55,CLOSED
LN00573,124911.07,4.30,DELINQUENT
LN00576,0.00,13.46,CLOSED
LN00580,123757.34,13.49,DELINQUENT
LN00583,184702.71,10.24,CURRENT
LN00585,75891.60,8.07,DELINQUENT
LN00586,263976.41,10.92,DELINQUENT
LN00587,0.00,9.38,CLOSED
LN00588,0.00,11.98,CLOSED
LN00593,61590.48,7.20,DELINQUENT
LN00596,0.00,9.14,CLOSED
LN00600,38087.88,4.17,DELINQUENT
LN00601,0.00,4.88,CLOSED
LN00606,401566.20,11.12,CURRENT
LN00610,122482.57,5.64,DELINQUENT
LN00611,120732.43,8.44,CURRENT
LN00612,0.00,14.80,CLOSED
LN00613,144600.57,4.18,DELINQUENT
LN00614,84336.63,4.54,DELINQUENT
LN00615,41579.68,10.79,DELINQUENT
LN00618,92367.98,6.73,DELINQUENT
LN00619,117723.59,11.95,CURRENT
LN00624,0.00,7.50,CLOSED
LN00630,0.00,12.18,CLOSED
LN00631,0.00,9.90,CLOSED
LN00632,254535.94,9.64,DELINQUENT
LN00635,32146.42,11.28,DELINQUENT
LN00638,115877.40,7.49,CURRENT
LN00643,25218.45,13.15,DELINQUENT
LN00646,0.00,12.19,CLOSED
LN00647,0.00,13.67,CLOSED
LN00651,0.00,6.49,CLOSED
LN00654,0.00,13.64,CLOSED
LN00655,0.00,10.12,CLOSED
LN00658,211288.18,9.65,DELINQUENT
LN00660,0.00,5.73,CLOSED
LN00662,160290.96,9.91,CURRENT
LN00667,0.00,7.06,CLOSED
LN00668,0.00,12.86,CLOSED
LN00669,109781.06,10.98,DELINQUENT
LN00672,148527.82,5.09,DELINQUENT
LN00676,81439.52,5.93,DELINQUENT
LN00681,100699.18,5.82,DELINQUENT
LN00684,217769.31,4.81,CURRENT
LN00688,95247.14,4.75,CURRENT
LN00691,0.00,11.00,CLOSED
LN00692,23952.23,7.07,CURRENT
LN00693,155070.63,8.57,CURRENT
LN00695,0.00,6.19,CLOSED
LN00696,0.00,7.14,CLOSED
LN00697,193229.84,9.18,DELINQUENT
LN00702,88757.94,10.09,DELINQUENT
LN00704,0.00,6.70,CLOSED
LN00705,0.00,4.07,CLOSED
LN00706,0.00,7.67,CLOSED
LN00707,0.00,6.96,CLOSED
LN00708,308274.18,10.40,CURRENT
LN00711,405765.61,7.98,DELINQUENT
LN00715,0.00,9.21,CLOSED
LN00719,132280.51,14.48,DELINQUENT
LN00721,224694.47,7.51,CURRENT
LN00724,165400.03,4.42,CURRENT
LN00725,0.00,6.41,CLOSED
LN00730,0.00,5.48,CLOSED
LN00733,178936.76,13.64,CURRENT
LN00734,133956.93,9.42,DELINQUENT
LN00736,0.00,11.60,CLOSED
LN00737,110201.45,11.88,CURRENT
LN00741,104891.98,14.50,CURRENT
LN00746,27763.81,5.46,DELINQUENT
LN00751,41199.04,5.32,CURRENT
LN00755,0.00,4.71,CLOSED
LN00756,222622.69,6.91,DELINQUENT
LN00757,0.00,10.94,CLOSED
LN00758,115684.44,4.62,DELINQUENT
LN00759,0.00,9.18,CLOSED
LN00760,185897.10,7.16,DELINQUENT
LN00761,65017.36,12.33,DELINQUENT
LN00762,64881.54,12.82,CURRENT
LN00765,124096.54,7.03,DELINQUENT
LN00768,75890.30,13.66,CURRENT
LN00770,0.00,8.37,CLOSED
LN00772,183837.42,6.32,CURRENT
LN00774,0.00,6.82,CLOSED
LN00775,64574.29,4.17,CURRENT
LN00777,0.00,8.33,CLOSED
LN00779,0.00,6.25,CLOSED
LN00785,0.00,10.14,CLOSED
LN00788,183137.81,13.24,DELINQUENT
LN00792,25980.80,14.91,CURRENT
LN00794,223906.00,4.00,DELINQUENT
LN00797,0.00,4.77,CLOSED
LN00798,0.00,6.12,CLOSED
LN00800,412559.43,5.59,DELINQUENT
LN00801,0.00,4.96,CLOSED
LN00802,0.00,11.94,CLOSED
LN00804,312928.89,9.15,CURRENT
LN00806,144063.58,7.35,DELINQUENT
LN00807,191926.94,14.41,CURRENT
LN00808,0.00,8.00,CLOSED
LN00809,0.00,7.17,CLOSED
LN00811,0.00,4.23,CLOSED
LN00814,108494.73,10.95,CURRENT
LN00815,103795.77,5.20,DELINQUENT
LN00817,26082.14,8.91,CURRENT
LN00820,143231.55,10.72,DELINQUENT
LN00821,0.00,6.11,CLOSED
LN00823,153159.49,8.40,CURRENT
LN00828,0.00,12.72,CLOSED
LN00835,68361.20,4.07,CURRENT
LN00838,0.00,13.63,CLOSED
LN00839,40177.32,9.49,DELINQUENT
LN00840,0.00,5.30,CLOSED
LN00842,206799.86,8.72,DELINQUENT
LN00846,241021.31,12.06,CURRENT
LN00850,0.00,6.92,CLOSED
LN00857,349206.81,4.75,CURRENT
LN00866,451513.64,12.80,DELINQUENT
LN00870,64078.91,13.21,CURRENT
LN00882,0.00,7.18,CLOSED
LN00883,179604.10,7.16,DELINQUENT
LN00889,0.00,8.25,CLOSED
LN00890,155754.40,13.83,DELINQUENT
LN00892,41659.60,7.25,DELINQUENT
LN00902,0.00,7.89,CLOSED
LN00906,93511.19,9.24,DELINQUENT
LN00911,140929.56,8.47,CURRENT
LN00916,209696.89,6.52,CURRENT
LN00920,115010.17,6.51,DELINQUENT
LN00922,99519.86,7.34,DELINQUENT
LN00923,329191.31,4.15,DELINQUENT
LN00925,172247.04,6.23,DELINQUENT
LN00926,62679.32,10.94,DELINQUENT
LN00932,191180.42,5.38,CURRENT
LN00935,197058.99,13.37,DELINQUENT
LN00937,105942.15,13.82,DELINQUENT
LN00938,56022.24,14.58,DELINQUENT
LN00939,257749.12,12.71,CURRENT
LN00941,37895.51,5.66,DELINQUENT
LN00942,256145.95,5.25,DELINQUENT
LN00944,0.00,6.97,CLOSED
LN00948,61136.65,10.95,CURRENT
LN00949,0.00,8.57,CLOSED
LN00950,99026.29,10.83,DELINQUENT
LN00951,399226.61,5.10,CURRENT
LN00953,0.00,12.29,CLOSED
LN00955,315801.18,5.84,CURRENT
LN00957,104641.63,5.62,DELINQUENT
LN00958,362309.58,14.20,DELINQUENT
LN00965,0.00,7.49,CLOSED
LN00967,86075.30,12.47,DELINQUENT
LN00970,175414.12,6.09,CURRENT
LN00973,0.00,5.27,CLOSED
LN00975,0.00,9.55,CLOSED
LN00978,89024.21,4.85,DELINQUENT
LN00979,140892.86,14.56,DELINQUENT
LN00984,168140.25,4.01,DELINQUENT
LN00987,0.00,7.28,CLOSED
LN00992,282303.98,6.31,CURRENT
LN00993,271596.14,5.77,CURRENT
LN00997,77777.00,7.75,CLOSED
LN00998,52853.73,11.33,DELINQUENT
LN01001,0.00,11.86,CLOSED
LN01002,147190.73,5.10,DELINQUENT
LN01004,90705.73,5.55,CURRENT
LN01007,151088.67,9.29,CURRENT
LN01009,0.00,7.22,CLOSED
LN01010,0.00,9.31,CLOSED
LN01013,118181.78,4.33,CURRENT
LN01014,0.00,8.17,CLOSED
LN01015,249635.92,13.55,CURRENT
LN01019,132950.56,12.57,CURRENT
LN01022,53956.75,6.62,CURRENT
LN01026,34221.27,9.40,DELINQUENT
LN01027,76264.32,12.70,CURRENT
LN01032,195114.01,7.17,CURRENT
LN01040,65262.51,7.69,DELINQUENT
LN01046,171607.09,5.08,DELINQUENT
LN01047,0.00,6.30,CLOSED
LN01053,0.00,7.77,CLOSED
LN01054,108035.03,9.56,DELINQUENT
LN01059,134524.38,14.55,DELINQUENT
LN01062,221099.09,13.26,CURRENT
LN01064,195621.24,9.68,DELINQUENT
LN01066,0.00,6.91,CLOSED
LN01067,0.00,10.84,CLOSED
LN01070,342338.52,5.11,CURRENT
LN01072,0.00,13.99,CLOSED
LN01075,46820.59,6.87,DELINQUENT
LN01078,159361.21,14.94,DELINQUENT
LN01081,0.00,4.49,CLOSED
LN01082,113685.49,4.29,DELINQUENT
LN01085,133680.83,4.39,CURRENT
LN01087,22719.92,7.19,CURRENT
LN01088,0.00,6.45,CLOSED
LN01090,71341.52,8.30,DELINQUENT
LN01091,114876.13,8.49,CURRENT
LN01092,0.00,6.72,CLOSED
LN01098,357721.14,6.00,DELINQUENT
LN01099,32682.19,12.48,CURRENT
LN01100,0.00,6.75,CLOSED
LN01102,0.00,4.27,CLOSED
LN01103,254213.45,11.31,CURRENT
LN01107,0.00,6.24,CLOSED
LN01108,32447.77,8.15,CURRENT
LN01114,165234.37,6.72,CURRENT
LN01117,173340.33,6.47,DELINQUENT
LN01120,0.00,5.42,CLOSED
LN01123,142586.38,9.50,CURRENT
LN01126,0.00,6.89,CLOSED
LN01131,114555.66,6.07,CURRENT
LN01134,405908.20,5.15,CURRENT
LN01136,211314.85,6.86,DELINQUENT
LN01137,0.00,4.35,CLOSED
LN01138,156675.49,13.29,CURRENT
LN01139,48767.60,4.34,DELINQUENT
LN01140,0.00,4.26,CLOSED
LN01141,0.00,10.00,CLOSED
LN01142,0.00,4.28,CLOSED
LN01143,0.00,6.65,CLOSED
LN01144,158207.73,6.87,DELINQUENT
LN01146,271930.31,7.11,DELINQUENT
LN01148,45911.40,4.09,DELINQUENT
LN01149,316492.54,7.12,DELINQUENT
LN01151,0.00,9.98,CLOSED
LN01154,0.00,13.27,CLOSED
LN01155,94030.39,5.41,DELINQUENT
LN01157,170003.18,6.55,CURRENT
LN01160,242835.32,5.67,CURRENT
LN01161,118069.63,11.89,CURRENT
LN01162,104949.83,6.09,DELINQUENT
LN01165,203174.37,13.42,CURRENT
LN01167,0.00,6.45,CLOSED
LN01168,120484.95,10.54,CURRENT
LN01181,321881.68,10.54,DELINQUENT
LN01186,102494.97,12.01,DELINQUENT
LN01188,143566.23,10.35,DELINQUENT
LN01192,56176.80,5.17,DELINQUENT
LN01194,0.00,11.77,CLOSED
LN01195,123547.01,12.69,CURRENT
LN01200,93501.66,4.76,CURRENT
LN01201,0.00,13.31,CLOSED
LN01205,134809.52,9.43,DELINQUENT
LN01206,0.00,11.12,CLOSED
LN01209,0.00,10.33,CLOSED
LN01210,0.00,6.28,CLOSED
LN01211,0.00,10.49,CLOSED
LN01212,146472.88,7.13,DELINQUENT
LN01215,0.00,13.07,CLOSED
LN01218,199514.15,8.91,CURRENT
LN01221,204099.53,8.92,CURRENT
LN01223,0.00,6.20,CLOSED
LN01227,313411.01,4.11,CURRENT
LN01228,155032.09,7.26,CURRENT
LN01232,0.00,11.97,CLOSED
LN01234,0.00,5.62,CLOSED
LN01235,0.00,9.28,CLOSED
LN01239,0.00,10.81,CLOSED
LN01242,0.00,6.56,CLOSED
LN01245,151493.80,5.94,DELINQUENT
LN01249,263059.28,9.66,CURRENT
LN01253,0.00,7.74,CLOSED
LN01254,207333.76,5.37,CURRENT
LN01260,147145.10,14.12,CURRENT
LN01263,215090.10,4.38,CURRENT
LN01264,0.00,13.91,CLOSED
LN01273,0.00,8.71,CLOSED
LN01276,36898.79,8.61,DELINQUENT
LN01277,84007.01,9.51,CURRENT
LN01278,0.00,7.67,CLOSED
LN01279,376282.00,13.57,DELINQUENT
LN01283,0.00,12.65,CLOSED
LN01284,185610.53,4.65,DELINQUENT
LN01286,108792.93,4.21,DELINQUENT
LN01287,0.00,7.60,CLOSED
LN01291,0.00,11.69,CLOSED
LN01292,98273.12,7.64,CURRENT
LN01297,153669.11,8.06,DELINQUENT
LN01299,0.00,4.08,CLOSED
LN01300,370356.75,13.50,CURRENT
LN01302,0.00,9.60,CLOSED
LN01303,0.00,6.97,CLOSED
LN01304,0.00,6.53,CLOSED
LN01305,263485.89,4.03,CURRENT
LN01308,148495.59,14.44,DELINQUENT
LN01309,97867.28,7.70,CURRENT
LN01311,237057.35,7.33,DELINQUENT
LN01313,259617.06,4.76,CURRENT
LN01315,33077.82,14.11,CURRENT
LN01318,354233.39,10.18,DELINQUENT
LN01323,0.00,4.40,CLOSED
LN01325,0.00,7.01,CLOSED
LN01328,193137.37,14.43,CURRENT
LN01331,0.00,5.34,CLOSED
LN01342,203053.38,8.53,DELINQUENT
LN01345,20223.70,5.02,CURRENT
LN01346,223783.98,4.63,DELINQUENT
LN01348,151900.77,6.85,DELINQUENT
LN01349,0.00,9.82,CLOSED
LN01350,0.00,7.34,CLOSED
LN01356,0.00,14.10,CLOSED
LN01357,94882.41,5.77,CURRENT
LN01358,48258.44,5.88,CURRENT
LN01359,0.00,8.18,CLOSED
LN01366,0.00,7.82,CLOSED
LN01369,0.00,7.77,CLOSED
LN01370,146960.99,4.78,CURRENT
LN01375,250303.89,7.50,CURRENT
LN01381,84933.50,6.17,CURRENT
LN01384,0.00,7.97,CLOSED
LN01389,0.00,8.61,CLOSED
LN01390,61717.59,8.84,CURRENT
LN01392,112689.49,9.02,DELINQUENT
LN01395,227332.36,4.94,DELINQUENT
LN01396,89510.97,4.29,CURRENT
LN01397,129863.13,6.19,DELINQUENT
LN01400,0.00,11.69,CLOSED
LN01401,0.00,7.80,CLOSED
LN01407,165094.65,4.02,DELINQUENT
LN01410,102378.37,6.56,DELINQUENT
LN01412,163157.91,4.43,DELINQUENT
LN01413,229382.54,14.86,CURRENT
LN01414,298468.66,12.75,CURRENT
LN01418,84848.92,13.21,DELINQUENT
LN01419,152187.45,5.12,DELINQUENT
LN01420,0.00,9.99,CLOSED
LN01422,97140.08,9.82,DELINQUENT
LN01428,388703.54,8.59,DELINQUENT
LN01430,0.00,8.82,CLOSED
LN01435,213729.52,9.82,DELINQUENT
LN01436,145630.04,4.07,DELINQUENT
LN01438,234827.55,13.88,DELINQUENT
LN01440,75905.62,6.80,DELINQUENT
LN01448,0.00,7.31,CLOSED
LN01450,302484.47,10.85,CURRENT
LN01451,91532.31,7.69,CURRENT
LN01456,0.00,5.13,CLOSED
LN01457,178836.16,8.52,CURRENT
LN01458,89514.31,12.25,DELINQUENT
LN01459,0.00,6.47,CLOSED
LN01462,29393.55,7.85,CURRENT
LN01463,159852.97,11.82,DELINQUENT
LN01464,55866.27,9.42,CURRENT
LN01466,79965.12,9.17,DELINQUENT
LN01467,172284.98,14.38,CURRENT
LN01469,0.00,9.50,CLOSED
LN01470,216875.80,5.82,CURRENT
LN01472,136354.13,9.28,CURRENT
LN01473,0.00,14.95,CLOSED
LN01474,221841.48,9.82,DELINQUENT
LN01475,139283.45,9.05,DELINQUENT
LN01480,0.00,5.73,CLOSED
LN01482,0.00,7.52,CLOSED
LN01485,391990.54,9.89,CURRENT
LN01487,0.00,7.86,CLOSED
LN01488,0.00,10.25,CLOSED
LN01489,218173.79,4.79,CURRENT
LN01490,79572.55,6.41,DELINQUENT
LN01491,59809.17,8.49,DELINQUENT
LN01493,61719.85,5.51,DELINQUENT
LN01494,0.00,7.67,CLOSED
LN01495,0.00,4.84,CLOSED
LN01496,0.00,12.56,CLOSED
LN01497,237462.49,8.64,DELINQUENT
LN01498,78513.58,13.69,DELINQUENT
LN01499,136941.02,4.63,CURRENT
LN01500,188560.57,14.05,CURRENT
LN01501,18884.34,9.08,DELINQUENT
LN01504,0.00,7.81,CLOSED
LN01511,0.00,5.57,CLOSED
LN01523,255465.03,12.48,CURRENT
LN01527,90964.22,5.98,DELINQUENT
LN01528,154535.13,11.38,DELINQUENT
LN01529,60242.07,10.35,CURRENT
LN01530,329594.08,6.68,CURRENT
LN01534,78610.15,11.24,CURRENT
LN01538,0.00,9.42,CLOSED
LN01541,347991.36,7.74,CURRENT
LN01544,165189.58,4.81,CURRENT
LN01548,85638.81,4.66,CURRENT
LN01549,25650.42,4.65,DELINQUENT
LN01553,58931.25,4.47,DELINQUENT
LN01554,0.00,14.62,CLOSED
LN01555,229533.21,14.78,CURRENT
LN01558,141903.11,9.87,DELINQUENT
LN01562,0.00,9.82,CLOSED
LN01565,0.00,5.36,CLOSED
LN01566,89363.18,5.48,CURRENT
LN01568,275634.68,4.54,CURRENT
LN01571,103171.94,5.39,CURRENT
LN01575,53449.81,9.88,CURRENT
LN01578,0.00,10.12,CLOSED
LN01579,0.00,14.62,CLOSED
LN01581,152575.19,11.91,DELINQUENT
LN01582,202555.16,7.89,CURRENT
LN01583,388470.31,4.12,CURRENT
LN01586,0.00,9.34,CLOSED
LN01587,118795.50,10.10,DELINQUENT
LN01590,0.00,10.81,CLOSED
LN01593,288543.34,5.13,DELINQUENT
LN01594,89850.18,6.75,DELINQUENT
LN01597,0.00,9.15,CLOSED
LN01604,0.00,10.26,CLOSED
LN01606,217809.74,4.31,DELINQUENT
LN01608,277684.84,14.53,DELINQUENT
LN01611,0.00,5.84,CLOSED
LN01617,197173.10,9.60,DELINQUENT
LN01620,0.00,4.36,CLOSED
LN01623,66197.14,4.86,DELINQUENT
LN01625,36027.70,10.89,CURRENT
LN01628,0.00,8.15,CLOSED
LN01634,0.00,13.83,CLOSED
LN01635,248145.98,13.49,CURRENT
LN01636,135166.71,6.53,CURRENT
LN01638,33009.53,6.90,DELINQUENT
LN01641,97233.96,4.98,CURRENT
LN01642,0.00,10.87,CLOSED
LN01643,184498.67,13.48,DELINQUENT
LN01645,244230.63,5.91,CURRENT
LN01646,294365.89,11.15,DELINQUENT
LN01647,0.00,5.35,CLOSED
LN01649,0.00,4.65,CLOSED
LN01653,0.00,14.40,CLOSED
LN01655,0.00,9.57,CLOSED
LN01659,86204.84,10.98,CURRENT
LN01662,399405.89,12.58,DELINQUENT
LN01664,215156.75,11.07,DELINQUENT
LN01667,0.00,9.48,CLOSED
LN01668,0.00,13.02,CLOSED
LN01669,362087.35,4.72,DELINQUENT
LN01671,130886.02,14.21,DELINQUENT
LN01672,0.00,6.60,CLOSED
LN01674,289529.82,7.53,CURRENT
LN01675,0.00,7.64,CLOSED
LN01679,0.00,4.47,CLOSED
LN01684,225843.18,5.53,DELINQUENT
LN01687,48130.86,13.61,DELINQUENT
LN01690,110060.06,11.38,DELINQUENT
LN01691,268551.54,13.60,CURRENT
LN01692,156045.66,7.41,CURRENT
LN01696,322648.07,5.65,CURRENT
LN01699,122190.44,14.26,CURRENT
LN01700,377495.55,7.51,DELINQUENT
LN01701,176668.49,6.95,CURRENT
LN01702,242609.76,4.82,CURRENT
LN01704,0.00,10.46,CLOSED
LN01705,0.00,13.58,CLOSED
LN01706,0.00,7.25,CLOSED
LN01709,0.00,4.44,CLOSED
LN01712,250894.20,7.13,CURRENT
LN01713,331081.32,5.12,DELINQUENT
LN01716,126554.34,13.97,DELINQUENT
LN01718,31114.80,14.21,CURRENT
LN01724,186672.95,4.08,DELINQUENT
LN01726,0.00,5.51,CLOSED
LN01727,34400.92,8.51,CURRENT
LN01732,211159.13,8.74,CURRENT
LN01734,228099.01,13.90,DELINQUENT
LN01735,0.00,13.31,CLOSED
LN01741,122397.43,6.71,CURRENT
LN01742,190692.90,13.46,DELINQUENT
LN01744,167762.63,10.68,CURRENT
LN01746,23350.43,4.03,CURRENT
LN01748,190868.21,4.63,DELINQUENT
LN01749,184406.22,12.33,DELINQUENT
LN01752,293586.49,10.40,DELINQUENT
LN01755,0.00,7.91,CLOSED
LN01758,289355.24,6.57,DELINQUENT
LN01760,271364.68,7.50,DELINQUENT
LN01763,0.00,5.50,CLOSED
