loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN00033,BR00033,ARM,2021-09-14,2036-06-27,456193.91,369517.07,13.57,180,PA,CASHOUT,D,25,<50K,CURRENT,0,Cardinal Mortgage Co,2024-05-30,2024-05-23,COMPLETE,ORIG_SYS
LN00034,BR00034,FIXED,2018-03-02,2047-09-26,435907.46,0.00,9.92,360,NY,PURCHASE,C,2,<50K,CLOSED,0,BlueRiver Loan Servicing,2024-06-02,2024-06-11,COMPLETE,ORIG_SYS
LN00035,BR00035,FIXED,2017-07-07,2037-03-24,154656.47,78874.80,7.37,240,FL,PURCHASE,B,10,>150K,DELINQUENT,84,Cardinal Mortgage Co,2024-05-22,2024-03-13,COMPLETE,ORIG_SYS
LN00036,BR00036,ARM,2018-02-25,2037-11-12,197762.54,168098.16,14.22,240,IL,REFI,D,26,100K-150K,DELINQUENT,103,Acme Servicing,2024-06-13,2024-06-09,COMPLETE,ORIG_SYS
LN00037,BR00037,ARM,2019-10-03,2039-06-20,141082.07,55022.01,8.29,240,PA,REFI,C,25,100K-150K,DELINQUENT,159,Acme Servicing,2024-05-31,2024-03-11,COMPLETE,ORIG_SYS
LN00038,BR00038,FIXED,2016-02-28,2045-09-23,481496.11,332232.32,10.39,360,OH,CASHOUT,C,33,<50K,CURRENT,0,Acme Servicing,2024-05-19,2024-04-21,COMPLETE,ORIG_SYS
LN00039,BR00039,FIXED,2016-02-24,2026-01-02,327274.57,219273.96,4.93,120,IL,CASHOUT,A,18,100K-150K,CURRENT,0,Cardinal Mortgage Co,2024-05-07,2024-03-27,COMPLETE,ORIG_SYS
LN00040,BR00040,FIXED,2015-12-14,2045-07-09,319817.05,121530.48,8.26,360,WA,REFI,C,25,50K-100K,DELINQUENT,147,Cardinal Mortgage Co,2024-05-16,2024-06-06,COMPLETE,ORIG_SYS
LN00041,BR00041,ARM,2021-02-23,2050-09-19,200136.99,0.00,8.81,360,OH,REFI,C,18,50K-100K,CLOSED,0,Acme Servicing,2024-06-21,2024-03-08,COMPLETE,ORIG_SYS
LN00042,BR00042,FIXED,2017-12-30,2037-09-16,471257.36,362868.17,5.87,240,IL,REFI,A,27,100K-150K,DELINQUENT,87,BlueRiver Loan Servicing,2024-06-22,2024-05-17,COMPLETE,ORIG_SYS
LN00043,BR00043,FIXED,2020-10-16,2050-05-12,372992.11,0.00,10.55,360,TX,CASHOUT,C,22,<50K,CLOSED,0,Acme Servicing,2024-06-02,2024-04-21,COMPLETE,ORIG_SYS
LN00044,BR00044,ARM,2015-08-28,2030-06-10,55536.21,0.00,4.59,180,GA,CASHOUT,A,16,50K-100K,CLOSED,0,BlueRiver Loan Servicing,2024-06-30,2024-05-26,COMPLETE,ORIG_SYS
LN00045,BR00045,FIXED,2018-09-24,2028-08-02,401582.32,0.00,10.64,120,NC,CASHOUT,C,9,>150K,CURRENT,90,Cardinal Mortgage Co,2024-06-28,2024-06-18,COMPLETE,ORIG_SYS
LN00046,BR00046,ARM,2015-12-08,2035-08-25,349558.13,0.00,10.69,240,CA,CASHOUT,C,1,<50K,CLOSED,0,Acme Servicing,2024-06-04,2024-06-13,COMPLETE,ORIG_SYS
LN00047,BR00047,FIXED,2015-02-06,2044-09-01,139191.90,0.00,11.14,360,PA,PURCHASE,D,0,<50K,CLOSED,0,Acme Servicing,13/40/2020,2024-04-19,COMPLETE,ORIG_SYS
LN00048,BR00048,FIXED,2016-12-20,2046-07-16,157348.77,0.00,14.20,360,CA,CASHOUT,D,32,<50K,CLOSED,0,Cardinal Mortgage Co,2024-05-12,2024-04-08,COMPLETE,ORIG_SYS
LN00049,BR00049,FIXED,2018-02-14,2027-12-24,68068.08,0.00,13.02,120,TX,REFI,D,26,100K-150K,CLOSED,0,BlueRiver Loan Servicing,2024-06-25,2024-03-21,COMPLETE,ORIG_SYS
LN00050,BR00050,FIXED,2015-05-13,2025-03-21,380579.49,-183678.16,7.96,120,OH,CASHOUT,B,21,100K-150K,CURRENT,0,Acme Servicing,2024-06-26,2024-04-18,COMPLETE,ORIG_SYS
LN00051,BR00051,FIXED,2018-02-21,2037-11-08,447865.57,183624.88,4.37,240,CA,REFI,A,34,100K-150K,CURRENT,0,BlueRiver Loan Servicing,2024-05-29,2024-03-29,COMPLETE,ORIG_SYS
LN00052,BR00052,FIXED,2018-01-21,2027-11-30,307585.92,279903.19,7.16,120,IL,CASHOUT,B,9,100K-150K,DELINQUENT,111,BlueRiver Loan Servicing,2024-05-06,2024-06-12,COMPLETE,ORIG_SYS
LN00053,BR00053,FIXED,2017-10-07,2047-05-03,278758.73,0.00,4.24,360,NC,PURCHASE,A,33,50K-100K,CLOSED,0,Acme Servicing,2024-06-13,2024-04-18,COMPLETE,ORIG_SYS
LN00054,BR00054,ARM,2019-05-06,2048-11-29,324944.40,185218.31,7.18,360,NY,REFI,B,11,>150K,DELINQUENT,91,Acme Servicing,2024-06-13,2024-05-12,COMPLETE,ORIG_SYS
LN00055,BR00055,ARM,2015-08-27,2035-05-14,151516.79,101516.25,7.30,240,IL,REFI,B,21,50K-100K,DELINQUENT,118,Acme Servicing,2024-05-15,2024-05-21,COMPLETE,ORIG_SYS
LN00056,BR00056,ARM,2019-04-15,2038-12-31,244138.19,153807.06,10.66,240,OH,PURCHASE,C,32,>150K,DELINQUENT,84,BlueRiver Loan Servicing,2024-05-18,2024-04-30,COMPLETE,ORIG_SYS
LN00057,BR00057,FIXED,2018-07-22,2048-02-15,191502.81,0.00,6.23,360,WA,PURCHASE,B,2,>150K,CLOSED,0,Cardinal Mortgage Co,2024-05-13,2024-06-24,COMPLETE,ORIG_SYS
LN00058,BR00058,FIXED,2018-05-03,2028-03-11,200358.52,100179.26,4.03,120,OH,REFI,A,28,100K-150K,CURRENT,0,Cardinal Mortgage Co,2024-06-06,2024-05-17,COMPLETE,ORIG_SYS
LN00059,BR00059,ARM,2019-07-30,2029-06-07,320378.18,173004.22,10.99,120,NC,REFI,C,27,50K-100K,CURRENT,0,Acme Servicing,2024-05-16,2024-04-10,COMPLETE,ORIG_SYS
LN00060,BR00060,FIXED,2021-05-03,2041-01-18,224528.76,0.00,4.42,240,CA,CASHOUT,A,18,50K-100K,CLOSED,0,Acme Servicing,2024-05-20,2024-06-11,COMPLETE,ORIG_SYS
LN00061,BR00061,FIXED,2021-07-23,2041-04-09,495109.85,0.00,7.98,240,GA,REFI,B,4,100K-150K,CLOSED,0,BlueRiver Loan Servicing,2024-05-12,2024-05-15,COMPLETE,ORIG_SYS
LN00062,BR00062,ARM,2015-04-14,2030-01-25,389898.58,237838.13,6.36,180,TX,PURCHASE,B,31,>150K,CURRENT,0,Acme Servicing,2024-05-24,2024-06-03,COMPLETE,ORIG_SYS
LN00063,BR00063,FIXED,2021-10-25,2041-07-12,270588.89,167765.11,4.49,240,CA,CASHOUT,A,29,>150K,CURRENT,0,BlueRiver Loan Servicing,2024-05-29,2024-04-14,COMPLETE,ORIG_SYS
LN00064,BR00064,ARM,2019-03-15,2029-01-21,393306.36,0.00,7.08,120,FL,CASHOUT,B,11,>150K,CLOSED,0,Cardinal Mortgage Co,2024-06-11,2024-05-04,COMPLETE,ORIG_SYS
LN00065,BR00065,FIXED,2017-07-13,2037-03-30,433406.98,0.00,9.76,240,NC,PURCHASE,C,29,50K-100K,CLOSED,0,BlueRiver Loan Servicing,2024-05-27,2022-11-29,COMPLETE,ORIG_SYS
LN00066,BR00066,ARM,2015-02-24,2029-12-07,97240.87,87516.78,11.71,180,CA,REFI,D,11,<50K,DELINQUENT,124,Acme Servicing,2024-06-29,2024-04-19,COMPLETE,ORIG_SYS
LN00067,BR00067,FIXED,2017-02-07,2026-12-17,251693.30,75507.99,13.81,120,NY,REFI,D,22,100K-150K,DELINQUENT,119,Cardinal Mortgage Co,2024-05-14,2024-04-18,COMPLETE,ORIG_SYS
LN00068,BR00068,ARM,2019-06-16,2049-01-09,392644.65,393644.65,14.13,360,WA,CASHOUT,D,2,<50K,DELINQUENT,72,BlueRiver Loan Servicing,2024-05-18,2024-03-26,COMPLETE,ORIG_SYS
LN00069,BR00069,ARM,2019-06-24,2034-04-06,298896.71,0.00,7.97,180,TX,PURCHASE,B,28,100K-150K,CLOSED,0,Cardinal Mortgage Co,2024-05-17,2024-04-16,COMPLETE,ORIG_SYS
LN00070,BR00070,ARM,2015-04-13,2034-12-29,105741.40,5000.00,7.97,240,GA,REFI,B,11,>150K,CLOSED,0,Acme Servicing,2024-06-06,2024-06-22,COMPLETE,ORIG_SYS
LN00071,BR00071,ARM,2018-10-20,2038-07-07,88168.67,79351.80,14.29,240,NY,PURCHASE,D,1,50K-100K,CURRENT,0,Cardinal Mortgage Co,2024-06-28,2024-05-18,COMPLETE,ORIG_SYS
LN00072,BR00072,ARM,2019-11-19,2039-08-06,353887.53,0.00,5.73,240,OH,CASHOUT,A,13,>150K,CLOSED,0,BlueRiver Loan Servicing,2024-06-28,2024-03-14,COMPLETE,ORIG_SYS
LN00073,BR00073,FIXED,2020-11-15,2035-08-29,329854.00,207808.02,5.35,180,IL,PURCHASE,A,26,50K-100K,CURRENT,0,Cardinal Mortgage Co,2024-05-09,2024-04-19,COMPLETE,ORIG_SYS
LN00074,BR00074,ARM,2020-11-01,2040-07-19,156946.26,133404.32,9.77,240,NY,REFI,C,13,<50K,DELINQUENT,82,Acme Servicing,2024-05-29,2024-03-17,COMPLETE,ORIG_SYS
LN00075,BR00075,FIXED,2019-08-15,2034-05-28,88165.22,67887.22,14.99,180,GA,REFI,D,10,>150K,CURRENT,0,BlueRiver Loan Servicing,2024-05-30,2024-06-14,COMPLETE,ORIG_SYS
LN00076,BR00076,FIXED,2020-11-09,2040-07-27,498911.02,344248.60,5.83,240,NY,REFI,A,12,<50K,DELINQUENT,39,Acme Servicing,2024-06-09,2024-06-21,COMPLETE,ORIG_SYS
LN00077,BR00077,ARM,2015-02-14,2029-11-27,140890.57,100032.30,4.84,180,FL,CASHOUT,A,33,>150K,DELINQUENT,97,Cardinal Mortgage Co,2024-06-01,2024-04-27,COMPLETE,ORIG_SYS
LN00078,BR00078,ARM,2017-08-23,2027-07-02,453648.56,231360.77,13.12,120,NC,CASHOUT,D,25,<50K,CURRENT,0,BlueRiver Loan Servicing,2024-05-25,2024-04-14,COMPLETE,ORIG_SYS
LN00079,BR00079,FIXED,2017-01-19,2016-01-20,158617.43,159617.43,4.57,180,GA,PURCHASE,A,19,50K-100K,CURRENT,0,Cardinal Mortgage Co,2024-05-27,2024-03-29,COMPLETE,ORIG_SYS
LN00080,BR00080,ARM,2021-07-02,2051-01-26,264315.79,195593.68,10.71,360,NY,CASHOUT,C,16,<50K,DELINQUENT,68,Acme Servicing,2024-05-28,2024-05-23,COMPLETE,ORIG_SYS
LN00081,BR00081,ARM,2021-07-16,2051-02-09,343814.96,199412.68,4.07,360,NC,CASHOUT,A,25,<50K,CURRENT,0,Acme Servicing,2024-06-28,2024-06-24,COMPLETE,ORIG_SYS
LN00082,BR00082,ARM,2018-02-11,2032-11-24,79488.70,0.00,4.63,180,ZZ,PURCHASE,A,29,<50K,CLOSED,0,BlueRiver Loan Servicing,2024-06-08,2024-03-30,COMPLETE,ORIG_SYS
LN00083,BR00083,FIXED,2016-06-01,2045-12-26,364185.38,203943.81,4.00,360,WA,PURCHASE,A,3,50K-100K,DELINQUENT,75,Cardinal Mortgage Co,2024-06-21,2024-06-30,COMPLETE,ORIG_SYS
LN00084,BR00084,ARM,2015-03-15,2029-12-26,270275.90,156760.02,5.68,180,IL,PURCHASE,A,8,50K-100K,DELINQUENT,112,BlueRiver Loan Servicing,2024-06-16,2024-03-14,COMPLETE,ORIG_SYS
LN00085,BR00085,FIXED,2016-07-24,2036-04-10,357466.26,321719.63,6.92,240,CA,CASHOUT,B,24,<50K,DELINQUENT,79,Acme Servicing,2024-05-26,2024-06-25,COMPLETE,ORIG_SYS
LN00086,BR00086,ARM,2015-08-13,2025-06-21,463470.44,194657.58,6.22,120,CA,CASHOUT,B,21,50K-100K,CURRENT,0,Acme Servicing,2024-06-25,2024-04-24,COMPLETE,ORIG_SYS
LN00087,BR00087,ARM,2018-05-19,2028-03-27,432245.90,367409.02,4.33,120,GA,CASHOUT,A,34,>150K,DELINQUENT,109,Acme Servicing,2024-06-15,2024-06-01,COMPLETE,ORIG_SYS
LN00088,BR00088,ARM,2019-02-17,2048-09-12,254505.84,0.00,12.45,360,OH,CASHOUT,D,5,50K-100K,CLOSED,0,BlueRiver Loan Servicing,2024-05-14,2024-06-17,COMPLETE,ORIG_SYS
LN00089,BR00089,ARM,2017-11-01,2037-07-19,147360.06,51576.02,9.04,240,CA,REFI,C,0,100K-150K,DELINQUENT,77,Acme Servicing,2024-05-23,2024-04-05,COMPLETE,ORIG_SYS
LN00090,BR00090,FIXED,2020-08-26,2035-06-09,382361.17,0.00,13.38,180,GA,PURCHASE,D,4,>150K,CLOSED,0,Acme Servicing,2024-05-22,2024-04-09,COMPLETE,ORIG_SYS
LN00091,BR00091,ARM,2015-10-31,2045-05-26,278281.72,83484.52,5.99,360,CA,REFI,A,20,50K-100K,CURRENT,0,Acme Servicing,2024-05-28,2024-03-16,COMPLETE,ORIG_SYS
LN00092,BR00092,FIXED,2016-02-18,2035-11-05,291290.19,0.00,4.10,240,NY,REFI,A,20,<50K,CLOSED,0,Acme Servicing,2024-06-10,2024-04-13,COMPLETE,ORIG_SYS
LN00093,BR00093,FIXED,2015-05-10,2035-01-25,58172.24,0.00,14.50,240,NY,CASHOUT,D,8,100K-150K,CLOSED,0,BlueRiver Loan Servicing,2024-06-20,2024-04-26,COMPLETE,ORIG_SYS
LN00094,BR00094,ARM,2018-08-24,2038-05-11,354929.34,237802.66,10.95,240,TX,REFI,C,32,100K-150K,DELINQUENT,70,Cardinal Mortgage Co,2024-06-30,2024-06-26,COMPLETE,ORIG_SYS
LN00095,BR00095,ARM,2017-10-16,2047-05-12,284103.53,250011.11,13.73,360,FL,REFI,D,5,50K-100K,DELINQUENT,44,Cardinal Mortgage Co,2024-06-15,2024-06-09,COMPLETE,ORIG_SYS
LN00096,BR00096,FIXED,2021-09-24,2051-04-20,436542.29,192078.61,10.20,360,WA,REFI,C,30,100K-150K,CURRENT,0,BlueRiver Loan Servicing,2024-06-06,2024-04-30,COMPLETE,ORIG_SYS
LN00097,BR00097,ARM,2018-08-27,2048-03-22,379011.19,0.00,4.21,360,IL,CASHOUT,A,31,100K-150K,CLOSED,0,Cardinal Mortgage Co,2024-05-11,2024-03-28,COMPLETE,ORIG_SYS
LN00098,BR00098,FIXED,2017-12-13,2037-08-30,141978.82,45433.22,9.13,240,NC,CASHOUT,C,25,>150K,CURRENT,0,Cardinal Mortgage Co,2024-05-24,2024-05-15,COMPLETE,ORIG_SYS
LN00099,BR00099,FIXED,2018-11-29,2038-08-16,323933.51,184642.10,10.81,240,PA,REFI,C,16,<50K,CURRENT,0,Acme Servicing,2024-06-11,2024-05-17,COMPLETE,ORIG_SYS
LN00100,BR00100,FIXED,2017-04-10,2027-02-17,108998.91,80659.19,7.91,120,OH,PURCHASE,B,6,<50K,DELINQUENT,37,BlueRiver Loan Servicing,2024-05-17,2024-04-22,COMPLETE,ORIG_SYS
LN00101,BR00101,FIXED,2016-05-20,2045-12-14,175151.01,112096.65,12.04,360,WA,PURCHASE,D,1,<50K,DELINQUENT,57,BlueRiver Loan Servicing,2024-06-25,2024-03-08,COMPLETE,ORIG_SYS
LN00102,BR00102,FIXED,2021-01-18,2030-11-27,272977.95,125569.86,5.53,120,ZZ,CASHOUT,A,27,>150K,DELINQUENT,50,Acme Servicing,2024-05-03,2024-04-18,COMPLETE,ORIG_SYS
LN00103,BR00103,FIXED,2015-06-29,2030-04-11,478849.61,239424.80,11.39,180,IL,CASHOUT,D,29,100K-150K,DELINQUENT,50,BlueRiver Loan Servicing,2024-06-07,2024-04-27,COMPLETE,ORIG_SYS
LN00104,BR00104,FIXED,2018-02-09,2027-12-19,163964.96,139370.22,10.21,120,IL,CASHOUT,C,10,>150K,CURRENT,0,BlueRiver Loan Servicing,2024-05-12,2024-05-13,COMPLETE,ORIG_SYS
LN00105,BR00105,ARM,2015-04-18,2025-02-24,397558.84,0.00,4.24,120,NC,PURCHASE,A,31,100K-150K,CLOSED,0,Acme Servicing,2024-06-08,2024-05-30,COMPLETE,ORIG_SYS
LN00106,BR00106,FIXED,2019-06-15,2034-03-28,130771.43,0.00,4.49,180,WA,CASHOUT,A,24,<50K,CLOSED,0,Cardinal Mortgage Co,2024-05-28,2024-03-18,COMPLETE,ORIG_SYS
LN00107,BR00107,FIXED,2019-12-05,2029-10-13,288882.68,132886.03,10.82,120,CA,CASHOUT,C,0,>150K,DELINQUENT,74,Acme Servicing,2024-05-31,2024-05-28,COMPLETE,ORIG_SYS
LN00108,BR00108,FIXED,2018-09-03,2048-03-29,288385.55,112470.36,7.90,360,TX,PURCHASE,B,16,>150K,DELINQUENT,95,Cardinal Mortgage Co,2024-06-22,2024-06-11,COMPLETE,ORIG_SYS
LN00109,BR00109,FIXED,2016-02-15,2030-11-28,143472.76,45911.28,7.83,180,CA,PURCHASE,B,32,100K-150K,DELINQUENT,87,Acme Servicing,2024-06-03,2024-03-07,COMPLETE,ORIG_SYS
LN00110,BR00110,ARM,2016-04-13,2045-11-07,289348.74,5000.00,6.94,360,OH,CASHOUT,B,5,>150K,CLOSED,178,Cardinal Mortgage Co,2024-05-21,2024-05-21,COMPLETE,ORIG_SYS
LN00111,BR00111,FIXED,2015-05-23,2044-12-16,204081.65,142857.16,10.38,360,OH,CASHOUT,C,7,<50K,CURRENT,0,Cardinal Mortgage Co,2024-05-30,2024-05-09,COMPLETE,ORIG_SYS
LN00112,BR00112,FIXED,2018-10-13,2048-05-08,51038.95,24498.70,6.92,360,OH,PURCHASE,B,15,<50K,DELINQUENT,161,Cardinal Mortgage Co,2024-05-24,2024-05-02,COMPLETE,ORIG_SYS
LN00113,BR00113,FIXED,2017-03-08,2031-12-20,464833.60,278900.16,7.20,180,PA,PURCHASE,B,16,100K-150K,DELINQUENT,138,Cardinal Mortgage Co,2024-05-30,2024-05-21,COMPLETE,ORIG_SYS
LN00114,BR00114,ARM,2021-10-01,2051-04-27,355142.33,117196.97,10.68,360,WA,CASHOUT,C,26,50K-100K,CURRENT,0,Cardinal Mortgage Co,2024-06-04,2024-04-28,COMPLETE,ORIG_SYS
LN00115,BR00115,ARM,2017-06-21,2047-01-15,186116.13,100502.71,12.61,360,GA,REFI,D,5,100K-150K,DELINQUENT,140,BlueRiver Loan Servicing,13/40/2020,2024-04-05,COMPLETE,ORIG_SYS
LN00116,BR00116,FIXED,2019-06-06,2034-03-19,238685.44,136050.70,12.76,180,NY,PURCHASE,D,28,<50K,CURRENT,0,Acme Servicing,2024-05-22,2024-06-15,COMPLETE,ORIG_SYS
LN00117,BR00117,FIXED,2015-02-19,2044-09-14,348309.37,149773.03,10.33,360,NC,CASHOUT,C,26,<50K,CURRENT,0,Cardinal Mortgage Co,2024-05-22,2024-06-10,COMPLETE,ORIG_SYS
LN00118,BR00118,FIXED,2015-12-13,2030-09-25,173818.64,0.00,5.35,180,NC,CASHOUT,A,25,<50K,CLOSED,0,Cardinal Mortgage Co,2024-05-30,2024-04-27,COMPLETE,ORIG_SYS
LN00119,BR00119,FIXED,2019-03-06,2038-11-21,478815.11,339958.73,10.93,240,FL,REFI,C,13,50K-100K,DELINQUENT,68,Cardinal Mortgage Co,2024-05-29,2024-06-28,COMPLETE,ORIG_SYS
LN00120,BR00120,ARM,2021-08-03,2041-04-20,443798.43,261841.07,10.56,240,FL,PURCHASE,C,29,100K-150K,DELINQUENT,56,Cardinal Mortgage Co,2024-06-02,2024-05-09,COMPLETE,ORIG_SYS
LN00121,BR00121,ARM,2016-09-02,2031-06-16,200350.07,0.00,10.77,180,FL,CASHOUT,C,32,>150K,CLOSED,0,Acme Servicing,2024-05-18,2024-03-04,COMPLETE,ORIG_SYS
